,time,post,number_comments,comment
0,2020-10-01,"Коллеги! Размещаю видео с судебным юристом Татьяна Пак.Мы поговорили о процедуре банкротства физических лиц. Посмотрели именно ее глазами, так как она этими процедурами занимается.Надеюсь Вам будет интересно.Ссылка на видео в первом комментарии к моему посту.Тема сейчас актуальная  и возникает много вопросов у риэлторов. Особенно, как защитить покупателя. #законобанкротствефизическихлиц##обучениериэлторов##юристпонедвижимости#.",9,"[', спасибо, из за очепятки я прочитала аккультная', 'Чубатова исправила) )', 'большой привет! Сто лет ничего о ней не слышал.', 'Вихлянцев передам . Общаемся с ней плотно) )', 'Бухтоярова спасибо', ':/ / youtu.be/YWNcfSyFzeE', 'Бухтоярова, спасибо, ждём новых ссылок на новые интервью', 'Бухтоярова Татьяне увидите привет передавайте от меня , 1 из моих первых сделок с ней была.', 'Славов обязательно передам.']"
1,2020-10-05,"Коллеги, клиент не спросив оплатил проверку 19.000 от сбера, якобы так надёжнее. Теперь в кабинете висит красным ""есть замечания"" к отчёту об оценке, когда объект висел на витрине  без отчёта об оценке. Все пропало? Еще и оценку делать придётся или обойдётся?",2,"['документы и регистрировать через регистратора', 'деньги где? в ООО зависли?']"
2,2020-10-05,Приплыло. Сделка цепь. Нижний просит заложить в долларах.,5,"['ИтакаСоглашайтесь на их оценщика . Ссылку пришлют . Без выезда за 6 тыс . гарантированно одобрят.', 'делать оценку! (+ 5000 р.', 'Kraevskaya-Grigoryants это уже понятно, сбербанк окрыляет', 'Тен предупреждайте клиентов, что им впаривают общедоступную бесплатную информацию за 19-20 тысяч...сколько можно людям вестись на этот обман?', 'Kraevskaya-Grigoryants да, я жену покупателя предупредила, объяснила, но титульный заемщик муж и его обработали']"
3,2020-10-05,"Коллеги, добрый день! Нужна помощь)) нужны фото для оценки квартиры с данной планировкой, кто поможет ?",52,"['ты уже и в Америке работаешь, Наташ?', 'Лурье, вспоминаем начало 2000 - х', 'Тамарина так уже не будет ..', 'аккредитивов не было, выписки из ЕГРН не было, и много чего не было', 'было) ) ну а чудики остались.', 'авансовых раньше писали сумму и в скобках, по курсу $или € по курсу цб на день расчетов', 'Чарыева, опять и снова . Вспоминаем', 'Чарыева и в ДКП тоже писали.', 'Дарина нет, в дкп рубли писали . В день сделки смотрели курс $пересчитывали и писали в рублях ту сумму которая получилась.', 'Чарыева я писала и рубли и $по курсу ЦБ РФ это точно помню.', 'ДКП раньше писали в соответствие курсу доллара и т . д.', 'к этому идет', '...', 'Людмила, пц', 'Тамарина молчи', 'Людмила, ну всё, молчу.', 'будет больше валюта расти.', 'Харыбин откуда информация?', 'Симонян потому что для этого нет оснований', 'Харыбин я бы не был столь категоричен', 'она и не растёт, это рубль вниз летит', 'Goldobin растёт доллар, как тихая гавань . Рубль вниз особо не летит', 'за 12 лет падение втрое, это не летит, тогда у меня аргументов больше нет) )', 'недвижимость тоже говорили, что не будет расти', 'рынке просто Дежавю . Ощущение, что все это было.', 'у . е, как в 2008, я их называла условные ёжики) ) )', 'я всегда учу сотрудников и стажеров не поддаваться на такие предложения или предлагаю клиенту записать, что если курс валюты упадет-он будет доплачивать сумму до рублевого эквивалента на момент внесения аванса', 'у нас в РФ разрешены расчеты в иностранной валюте? Что в ДКП тогда писать?', 'Голубева в дкп рублей они просят положить в ячейку дол . Я так понимаю . У меня обратная ситуация . Деньги есть в дол и покупатель хочет их в дол и заложить . Но у нас один соб берет деньги, а другому надо альтернативу . Вот, обсуждаем уже два дня как быть . Альтернативная думает пока.', 'было в 2000 - х, придёться вспоминать . А что делать? Мы и так можем.', 'Чарыева в одну реку дважды не войдешь, и надо открывать новые навыки', 'Лурье всё новое это забытое старое . Навыки уже сформированы, поэтому не страшно . Это как обьяснишь клиенту . У нас в России риэлтор и чтец и жнец и на дуде игрец.', 'Чарыева согласна . Попробовала заинтересовать агента-с испугом "" а разве так можно? "" и подняла на 400 тыр . Стажёры б ...', 'обзваниваю квартиры, стоила 21 млн, риелтор с возмущением говорит, что меняют цену, теперь 28 млн . Соб - доллар подорожал . Посочувствовала агенту.', 'Семенова чет он вроде не так подорожал )', ', ладно вам: квартир навалом, попался бы достойный риэлтор )', 'не воспрещается', 'же самое было на прошлой неделе . Продавец просил, а покупатель наотрез отказался . Заложили в рублях.', 'у покупателя они в долл то ладно, а если тратить на покупку, закладку и если сделка не состоится то кто обратные траты будет возмещать? Страхи они естт и будут . Обсуждайте', 'Mushuk вообще то это незаконно ...', 'Антипов что именно не законно?', 'авансовых договорах не было указано зависимость от курса', 'с несколькими продавцами обсуждали возможность зафиксировать цену в валюте', 'история . Точнее даже истерия агента нижней квартиры ...', 'ещё что нижним нужно?', 'у меня торг 20 тр попросили, я сказала через три дня повышение будет на эту квартиру', ', все же пронесет ...', 'тые ежики', 'еноты мы говорили.', 'расчеты в РФ в рублях . Точка.', 'Болотова вот прям так кардинально', 'квартиру за 5100 (неделю назад) подняди сегодня до 6000 . Жесть!']"
4,2020-10-05,"Время сейчас такое, что иногда приходят два покупателя на квартиру и один из них предлагает заплатить за квартиру больше, чем предлагается в рекламе.Хотелось бы, дорогие коллеги, чтобы  такие предложения передавались собственникам, а не говорилось ""Нет, я отдам квартиру тем, кто пришёл раньше, тем более, что они пришли уже повторно и мне неудобно, что они два раза ездили"" А уж если и те и другие предложили больше и надо ещё раз повышать, то тут совсем тяжело перестроиться из парадигмы приятной женщины, в ""нехорошего"" человека, который поднимает и поднимает цену. Хотелось бы, конечно, чтобы все предложения до конца торга передавались собственнику.)",10,"['распашонка?', 'Лукашевская, да', 'банк?', 'Быкова, Совком', '. Дают без торга и сделка уже в четверг и дают на 50000 больше и сделка через 1,5 месяца...все озвучено и представлены аргументы . Идем на сделку в четверг . Выбор должен делать соб . Но!!! Понимая + и - всех предложений.', ', я тоже за более быстрые варианты, но в нашем случае человек руководствуется именно "" неудобно ""', 'можно, но если чувствуете что до собственника не доносится информация, то проявите смекалку', '?) Как? )', 'пустая, ключи у агента.', ', и все равно можно проявить смекалку) Напишите в личку']"
5,2020-10-05,"Доброе утро! Нбки кто-то может быстро сделать? Делаю за 700,но ресурс сейчас не работает. Поделитесь пож.контактом!",35,"['предлагаете выйти на собственника в обход агента? А как же деловой этикет . Или Вы не риэлтор?', ', если после таких "" передаваний "" собственник повысит цену еще на порядок выше?) )) Так ведь можно "" застрять "" потом с квартирой ...', ', кстати, возможно такое ...', 'Иванова у нас некоторым только дай...подставишь ладонь, откусят по локоть ...', 'Морозан работа агента, в том числе, в том и заключается...чтобы продать выгодно и без качель . Если у клиента полное доверие к агенту, то будет слушать своего Агента', 'Иванова у клиента да, но вот он пришёл на работу или посоветовался с родственниками - и всё...Не всегда полное доверие есть, сомнения давить будут, а, если ещё жадность в добавок, то это Ваше доверие может рухнуть ...', 'Морозан, за 98 сделок Подобного не было', 'Иванова Аукционы проводили?', 'Морозан, нет и не планирую', 'Иванова и в 98 - ми сделках предлагали повышение?', 'Морозан, (половина из них-покупки). Да . Если два покупателя на один объект-на сделку всегда иду с кем выгоднее по срокам или цене (решение принимается совместно с собственником )', 'понимаю я эти качели и перетягивания "" одеяла "" . Да, мало объектов, но вот это "" мы больше дадим "" вернется ж, и сами в такой ситуации будете, когда зависните в подготовке к сделке, а тут нарисовался "" ябольшедам "" . Что скажете своему покупателю?', 'Понкратова это рынок', 'Карпушкина да, рынок, но лицо должно быть человеческое ...', 'Понкратова это бизнес, хотите, платите соли деньги клиенту как компенсацию, если дают больше, а вы хотите, что бы он согласился на меньшее.', 'образовался аукцион, то значит ошиблись с ценой . Это не страшно . Бывает . Особенно на растущем рынке . В зависимости от интенсивности спроса можно либо принять лучшее предложение (лучшее - не всегда означает самую высокую цену), либо изменить цену на согласованную с клиентом сумму в рекламе, о чём сообщить всем интересантам.', 'не вижу доносить до клиента качели по цене, если аванс не принят и если условия проведения сделки равны . Со всеми этими вопросами могут риелторы между собой договориться )', '? Естественно, выбираем бОльшее / наиболее удобное предложение . Потом, всё-таки стоит торговаться или нет в большей степени решает агент ...', 'если агент милая, приятная женщина и ей неудобно отказывать? )', 'объясняем, что это бизнес и ничего личного, а клиент именно поэтому платит нам большую комиссию, чтоб самому обстрагироваться от лишних эмоций и приятных женщин, которым неудобно отказать', 'Морозан, помним, что : 1) любой разговор - это професс переговоры; 2) суть работы Риэлтора НИКАК не связана со Сделкой.', 'также, что таким образом можно себя выставить непрофи..."" Оценил неправильно, продешевил "" - и до свидания ...', ')) ) Исходим из профессиональных Знаний 2 - х разделов Теории РУ: - Ценообразование для ОН; - Содержание РУ . Поэтому, "" себя выставить непрофи "" - невозможно) )', 'похожая ситуация . Выставила квартиру, точных аналогов нет, рядом более новый и "" модный "" дом, квартиры с ремонтом в 1.5 раза дороже . И более старые и простые дома в 1.5 раза дешевле, разброс от 120 до 175тр за м Выставила выше верхней планки (по моим оценкам) на 200тр дороже . Порвали телефон . Увеличила цену на 400тр . 8 показов в один день 2е хотят . Я изначально сказала, что мы продадим тем кому выгоднее . Собственников держала в курсе.', 'Snowbirdмы в таких, да если честно, не только в таких, случаях делаем так, что получаем предложения в письменном виде . Со всеми условиями (когда будет сделка - в вашем случае, видимо, ипотека или нет, есть ли встречная продажа или нет, ну или что там у вас может быть) до такого то числа . Все об этом знают . потом садимся с собственником и обсуждаем все . Принимаем решение и делаем выбор . Подписываем контракт с опционным периодом . Можем еще получить и подписать "" страховочный контракта "" На случай если с основным что - то случится . Понятно, что времена могут быть разные, но играть на рынке надо честно всем, и наступает момент, когда надо сделать выбор и дальше уже не плясать . На мой скоромный взгляд.', 'бы . Только будьте готовы к тому, что Циан заблокирует Ваше обьявление, как аукцион . А 2 таких блокировки и аккаунт закрывают! 3 недели назад у меня такая блокировка произошла и никакие объяснения, что право собственника выбрать лучшего покупателя представители большого брата не слышат: у них задача другая', 'зафиксирована в авансовом . Всё остальное разговоры ни о чём . Хочешь зафиксировать цену? Внеси аванс . Обещать не значит жениться.', 'аванс внесли или пока сказки сказываются?', 'всегда одинаковое . Если договорились покупать-продавать, то нечего потом играться с другими . а если ещё не договорились, тогда и нет предмета обсуждения . На прошлой неделе договорились купить, на следующий день хотим везти сумму и оформлять . Звонок, а в ответ "" Я решил другим продать, они больше предложили "" . И это человек постоянно продающий недвижимость . В итоге на другие объекты будем возить с опаской и предупреждать об этом моменте . Другие в подобной ситуации предпочитают иметь дело с первыми, так как раз передумав можно получить очень долгую продажу объекта.', ', не знала', ':/ / ipotekalab.ru/services/', 'этот вопрос со стороны продавца пришел вот к чему . Правда в моем случае завышение было на 2 млн . по рынку квартира была 6 . В налоговую идти не надо, вроде рисков нет . Но, у покупателя нет денег совсем, то есть вообще совсем, даже на первый взнос . Как дальше будут развиваться события? Покупатель прекращает платить, сколько у него там ещё долгов, х / з . Покупателя что делают? Правильно банкротят, дальше что? Обнаруживают что предмет залога не 8 а 6 млн, фейковые аналоги, левая оценка и т . п . Как поведет себя конкурсный управляющий? Мысль подкинул Владимир Мнацаканов, за что ему огромное человеческое спасибо.', 'Кузнецов благодарю за подробный ответ', 'Кузнецов вот вот', 'Кузнецов согласна полностью!']"
6,2020-10-05,"Коллеги, доброе утро!",6,"['давно отказались от завышений . Ну и вариант по почте, ехать тоже не рассматривается . Пусть свои проблемы решают сами, а не за счет вашего клиента.', 'меня сейчас такая же сделка, только в Москве . Там есть два минуса . В дкп обязательно указывать не меньше суммы кредита, а лучше чуть больше . А если продавцу не нужно подавать декларацию в налоговую, то схема рабочая . А вот если нужно, то это проблема, мы до сих пор решаем этот вопрос', 'Конохова просят ЗАВЫШЕНИЕ . Вы про занижение пишите.', 'Vorotilina в тексте чёрным по белому ЗАВЫШЕНИЕ просят, все верно', 'Воротилина это и есть завышение', 'Конохова "" В дкп обязательно указывать не меньше суммы кредита, а лучше чуть больше . "" А при завышении как в ДКП можно указать сумму меньше кредита? Покупатели просят указать сумму кредита + ПВ (которого у них нет).']"
7,2020-10-05,Что это?  Коллеги! ЭТО РЕКЛАМА ОДНОЙ КВАРТИРЫ! ,14,"['это только сейчас узнали?', 'Shuk завышения в договоре не просили, в пятницу объявили, что без этого не получается у них', 'опять вал таких горе покупателей . Одним отказала на стадии просмотра, другим на стадии аванса - сказали только когда уже деваться было некуда . Ещё так легко - а что такого?...Начали бы с этого и квартиру бы не показывала . Одно слово - Этажи . Не надо, господа, мошенничать с кредитными деньгами . С Олег Кузнецов согласна полностью.', '', ', честно говоря, раздражают « утки », реклама с приятными фото ради звонка Покупателя, реально в продаже объектов нет Покупателя это настораживает ...', 'Inessa не настораживает, а реально бесит', 'назад обратились сдать в аренду офисное помещение 600 кв . м . (2этажа) в центре . Глянула, а там 12 агентств наперегонки и у всех одни и те же фотки, да и текст рекламный почти под копирку...Отказалась, сказала, что в эстафетах не участвую, давно уже в судейской ложе сижу.', 'вообще такой способ сбора лидов покупателей эффективен??', 'Lizunov Чисто на удачу...ни один не постарался превратить эту продажу в эксклюзив, не отработали...накидали фото от собственника и всё . Видели ли они документы на квартиру? Большие сомнения...На растущем рынке конечно кто-то продаст . Может кто-то из них и Покупателя зацепит ...', 'Волошина я в начале деятельности размещал объявления рядом с собственником, правда со своими фото . Из трёх, одну продал я, две они.', 'Lizunov все так работали! Но это уже пережиток прошлого...для многих, но не для всех.', 'Lizunov я отказываюсь от такого . У собственника будут проблемы с таким подходом.', 'по принципу "" не победит, так согреется "") ) )', 'Арт']"
8,2020-10-04,"Домклик забанил объявление по причине «невозможно дозвониться». Ну и бред! До вас, действителено невозможно дозвониться. Начните с себя.",23,"['выбор собственника и собачьи бега риелторов.', 'и везде фото квартиры отстой, вообщем одни сплошные лидогенераторы . Очень скверно . Не думаю что это продержится долго, система разпознования фейковых фото уже тестируем, скоро выход способны оформить', 'Штурвальский все объявления эти есть в ЦИАН', 'Штурвальский был бы посмелее #ЦИАН ввёл бы ограничения на публикацию объявлений по Договору...но! Ему это не выгодно! Поэтому как все было, есть и будет ...', 'Волошина однозначно и ему и другим маркетплейсам точно не выгодно, чем больше клиентов тем выше монетизация.', 'для виду пару фильтров оформят на всеобщее обозрение для успокоения населения и придания значимости процесса.', ', собственника видели все . И скажите ему « спасибо » за то, что столько агентов бегают наперегонки . Я такие квартиры не рассматриваю вообще.', 'ребят . Занимаются пустым', ', так это давно уже так . "" Пакет АН "" практически не изменен: Слоны, Этажи, Планета, ОГРК - с добавлением иногда Миэля, Инкома, Простора - видимо один скрипт у них) )', ', помимо вышеперечисленных АН, в таких групповушках любят участвовать Владис, МГСН и HomeApp . Обычно такие истории начинаются с того, что собственник квартиры имеет неосторожность дать объявление о продаже своей квартиры на сайт Авито . И при звонке идентифицировать себя собственником продаваемой квартиры.', 'собственник и не в курсе . Если фото одни и те же, значит парсят объявления и дублируют под своими номерами . Генерируют Лиды . Ладно агенты, это их выбор работать в таких бегах или нет, а больше всех страдает продавец', 'на авито выставил и его раздраконили...Растащили.', 'собственники, которым не встреляешь, что не стоит обращаться ещё в 10 агентств.', 'на Циан?', 'Мазурина, на ДомКлик.', 'у меня Циан снял мою Квартиру, лично мою, которую я продаю, в которой живу . Аргумент: не актуальное объявление . Иресть значит, что уже продано .. А я об этом не знаю! Во как!!', 'у меня ещё смешнее . При мне клиент звонит с домклика на мой телефон и у меня высвечивается, что это звонит другой клиент с Сургута . Как такое возможно?', 'ясинская, у меня тоже подобное было .) )', 'Абрамов а у клиента кстати фамилия Абрамов', 'ясинская ,', 'Добрый день! Дайте, пожалуйста, номер обращения в службу поддержки, разберемся.', 'уже Звонила . Просила восстановить...БЕЗ полезно . Пришлось давать новое объявление.', 'Чтобы разобраться в ситуации, нужны конкретные данные: ID вашего объявления или личного кабинета . Если объявление было заблокировано за нарушение, колл-центр не может его разблокировать . Также можем проверить, как обрабатывался ваш звонок . Укажите в лс ваш номер телефона и примерную дату, когда вы звонили . Проверим и вернемся с ответом.']"
9,2020-10-05,"С утра позвонили, попросили поработать-нужно нежилое  помещение в аренду в районе м. Киевская, Бережковской наб. Не поняла, то ли 80, то ли 800 м2. С утра плохо воспринимаю информацию. Работы достаточно, арендой особо не занимаюсь.Кому отдать клиента?",10,"['. Я Вот понять не могу из текста поста, земля по новому адресу, т . е Москва . А Таун со старым адресом . Это в Росреестре так или в документах что на руках? Допустим до сих пор в Росреестре не прошли изменения адреса, такое было в первых 3 - х годах, потом автоматом изменили (в самом деле мы сталкивались с тем что земля уже с новым адресом, а дома ещё по области) а зачем межевание то делать? Что земля не межеванная? Или вы имеете ввиду, что межевать ее будете чтобы раздел в натуре сделать . А каком присвоении нового адреса Вы ведёте речь? Ставить заново на кадастр если оно уже стоит ничего не надо.', 'верно, пинка надо Росреестру дать и всё исправят.', 'нужно межевание (его не делали раньше) в том числе и для раздела . Тауна на кадастровом учете нет.', 'смысле нет тауна на кадастровом учете Вы писали что у него адрес по области? Его что по декларации регистрировали? Тогда все равно он должен быть учтён . Случаем это земля не под садоводство? Да даже если под ИЖС - не соответствие вида разрешённого использования тому что на нем . Таун уже считается малоэтажным строительством . Вам нужно помимо межевания ещё и техпаспорт Тауна делать, причём всего . А здесь проблемы большие могут возникнуть . Сочувствую! А клиентка Ваша простите за откровенность...лучше промолчу ...', 'через суд', ', спасибо за ответ . Вы же понимаете, что в нашей стране судебные тяжбы могут тянуться долго . Не вариант.', 'это ещё не значит что дело дойдет до суда . В большинстве случаев достаточно получить заказное письмо, мало кому хочется портить свою репутацию', 'Иванова а . Вот понять не могу из текста поста, земля по новому адресу, т . е Москва . А Таун со старым адресом . Это в Росреестре так или в документах что на руках?', 'какой к черту суд вы там в Щербинском суде решение будете от 3 мес выбивать готовое . Это ошибка Росреестра всё легко но не быстро Росреестр исправляет.', 'вообще чтобы понять вашу проблему и указать пути решения нужно смотреть документы']"
